Rk,Player Name,Nationality,Position,Clubs,Age,Born,Match Played,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,Penalty Kicks,Penalty Kicks attempts,Yellow Cards,Red Cards,Expected Goals,Non Penalty Expected Goals,Expected Assists Goals,npxG+xAG,Progressive Carries,Prograssive Passes,Progressive Passes Rec
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,36,28,"2,372",26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43,86,151
2,George Abbott,eng ENG,MF,Tottenham,16,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Che Adams,sct SCO,FW,Southampton,26,1996,28,23,"1,992",22.1,5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17,34,115
4,Tyler Adams,us USA,MF,Leeds United,23,1999,24,24,"2,156",24,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20
5,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,25,23,"2,085",23.2,1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,16,95,3
6,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,18,17,"1,595",17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2,25,4
7,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,8,0,94,1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11
8,Rayan Aït Nouri,dz ALG,DF,Wolves,21,2001,21,9,"1,076",12,1,0,1,1,0,0,4,0,0.7,0.7,1,1.7,30,43,76
9,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0,0,0,0.1,10,31,12
10,Manuel Akanji,ch SUI,DF,Manchester City,27,1995,29,24,"2,287",25.4,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,116,17
11,Nathan Aké,nl NED,DF,Manchester City,27,1995,26,22,"1,873",20.8,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,140,30
12,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18
13,Thiago Alcántara,es ESP,MF,Liverpool,31,1991,18,14,"1,254",13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24
14,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,18,13,"1,029",11.4,4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20,28,32
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,37,34,"2,923",32.5,2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43,235,139
16,Alisson,br BRA,GK,Liverpool,29,1992,37,37,"3,330",37,0,1,1,0,0,0,1,0,0,0,0.3,0.3,0,3,0
17,Dele Alli,eng ENG,MF,Everton,26,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
18,Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,34,29,"2,491",27.7,11,2,13,11,0,0,2,0,8,8,3.2,11.1,77,124,264
19,Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,2000,31,13,"1,465",16.3,9,0,9,8,1,1,0,0,7,6.2,1.8,8,38,37,99
20,Daniel Amartey,gh GHA,DF,Leicester City,27,1994,20,18,"1,610",17.9,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,23,66,5
21,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
22,Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,32,32,"2,782",30.9,1,0,1,1,0,0,8,0,1.8,1.8,1.3,3.1,16,105,7
23,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,19,2002,22,3,410,4.6,0,1,1,0,0,0,0,0,1,1,1.3,2.3,23,24,35
24,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,1999,30,11,"1,257",14,3,1,4,3,0,0,2,0,2.2,2.2,1,3.3,31,49,72
25,Michail Antonio,jm JAM,FW,West Ham,32,1990,33,21,"1,829",20.3,5,3,8,5,0,0,2,0,6.6,6.6,1.3,7.8,49,27,120
26,Antony,br BRA,FW,Manchester Utd,22,2000,25,23,"1,802",20,4,2,6,4,0,0,5,0,6.6,6.6,2.9,9.4,95,74,168
27,Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
28,Alphonse Areola,fr FRA,GK,West Ham,29,1993,5,2,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Joe Aribo,ng NGA,"MF,FW",Southampton,26,1996,21,13,"1,224",13.6,2,0,2,2,0,0,2,0,1.5,1.5,0.8,2.3,19,39,64
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,25,1997,30,14,"1,335",14.8,2,1,3,2,0,0,2,0,2.1,2.1,1.3,3.3,39,16,70
31,Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,1992,32,14,"1,408",15.6,2,1,3,2,0,0,6,0,2.4,2.4,2.2,4.7,61,75,88
32,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,29,29,"2,565",28.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,15,5,554,6.2,1,0,1,1,0,0,1,0,1.5,1.5,0.4,1.9,9,3,29
34,Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,0,3
